id,url,label,title,created_time,last_activity_date
60194646,https://stackoverflow.com/questions/60194646/is-it-possible-to-train-a-neural-network-model-with-tensoflow-lite-or-any-other,"['deep-learning', 'tensorflow-federated']",Is it possible to TRAIN a neural network model with Tensoflow Lite/Or any other frameworks on smartphones?,2020-02-13 02:13:59,2020-03-14 22:24:58
60966874,https://stackoverflow.com/questions/60966874/running-the-event-loop-in-tf-federated,['tensorflow-federated'],running the event loop in tf federated,2020-04-01 16:45:08,2020-05-04 13:30:15
60998080,https://stackoverflow.com/questions/60998080/tff-how-simulate-training-on-random-samples-of-users-in-each-round,['tensorflow-federated'],TFF: How simulate training on random samples of users in each round,2020-04-03 02:01:10,2021-06-11 19:14:41
61034455,https://stackoverflow.com/questions/61034455/tensorflow-federated-how-can-i-write-an-input-spec-for-a-model-with-more-than-o,"['python', 'tensorflow', 'tensorflow-federated']",TensorFlow Federated: How can I write an Input Spec for a model with more than one input,2020-04-05 04:37:35,2020-04-12 23:57:26
61603476,https://stackoverflow.com/questions/61603476/nameerror-name-filecheckpointmanager-is-not-defined-while-saving-model,['tensorflow-federated'],NameError: name &#39;FileCheckpointManager&#39; is not defined while saving model,2020-05-05 07:44:29,2020-05-05 10:31:18
61786305,https://stackoverflow.com/questions/61786305/tff-loading-a-pre-trained-keras-model,['tensorflow-federated'],TFF loading a pre-trained Keras model,2020-05-14 06:57:06,2020-05-17 03:33:23
62040659,https://stackoverflow.com/questions/62040659/grid-search-applicable-for-tff-and-fl,"['grid-search', 'tensorflow-federated', 'federated-learning']",Grid Search Applicable for TFF and FL.?,2020-05-27 18:14:02,2020-11-28 18:55:28
62598087,https://stackoverflow.com/questions/62598087/is-there-a-way-to-cast-a-federated-value,['tensorflow-federated'],Is there a way to cast a federated value?,2020-06-26 23:34:09,2020-06-30 00:19:09
62711362,https://stackoverflow.com/questions/62711362/tff-difference-between-split-clients-into-train-and-test-or-split-each-client,['tensorflow-federated'],TFF : Difference between split clients into train and test or split each client dataset into train and test,2020-07-03 16:22:35,2020-07-03 23:00:05
62754913,https://stackoverflow.com/questions/62754913/attempting-to-capture-an-eagertensor-without-building-a-function-error-while,"['tensorflow', 'tensorflow2.0', 'tf.keras', 'tensorflow-federated']",&#39;Attempting to capture an EagerTensor without building a function&#39; Error: While building Federated Averaging Process,2020-07-06 19:18:06,2020-07-06 21:10:05
63460420,https://stackoverflow.com/questions/63460420/federated-tensorflow-memory-overloads-a-single-gpu,"['python', 'tensorflow', 'out-of-memory', 'tensorflow-federated']",Federated Tensorflow memory-overloads a single GPU,2020-08-18 08:54:46,2020-08-19 00:47:29
63539599,https://stackoverflow.com/questions/63539599/can-i-use-class-weight-in-keras-model-in-tensorflow-federated-learning-tff,"['python', 'tensorflow', 'tensorflow-federated']",Can I use class_weight in keras model in Tensorflow Federated Learning (TFF),2020-08-23 02:17:48,2020-08-24 21:47:11
63809453,https://stackoverflow.com/questions/63809453/how-does-tensorflow-federated-update-model-from-server,"['tensorflow', 'tensorflow-federated']",How does Tensorflow Federated update model from server,2020-09-09 18:12:17,2020-09-11 11:31:05
63917893,https://stackoverflow.com/questions/63917893/run-tensorflow-federated-on-gpu-with-colab,"['tensorflow', 'google-colaboratory', 'tensorflow-federated']",Run TensorFlow Federated on GPU with Colab,2020-09-16 18:17:18,2020-09-25 23:01:35
63955527,https://stackoverflow.com/questions/63955527/tensorflow-federated-how-to-map-the-remote-worker-with-remote-datasets-in-iter,['tensorflow-federated'],Tensorflow federated : How to map the remote-worker with remote datasets in iterative_process.next?,2020-09-18 20:10:10,2020-09-29 04:48:28
65411118,https://stackoverflow.com/questions/65411118/is-it-possible-to-send-different-subset-of-weights-to-different-clients,"['tensorflow', 'tensorflow2.0', 'tensorflow-federated']",Is it possible to send different subset of weights to different clients?,2020-12-22 23:10:51,2020-12-23 07:02:13
65458032,https://stackoverflow.com/questions/65458032/tff-how-split-data-of-each-client,['tensorflow-federated'],TFF: How split data of each client,2020-12-26 23:43:13,2020-12-27 05:53:28
65471612,https://stackoverflow.com/questions/65471612/tensorflow-federated-has-no-attribute-namedtupletype,"['python', 'tensorflow', 'tensorflow-federated', 'federated-learning']",&#39;tensorflow_federated&#39; has no attribute &#39;NamedTupleType,2020-12-28 07:57:17,2020-12-28 11:37:41
65498670,https://stackoverflow.com/questions/65498670/expected-a-tensorflow-computation-found-intrinsic,"['python', 'tensorflow', 'machine-learning', 'tensorflow-federated', 'federated-learning']","Expected a TensorFlow computation, found intrinsic",2020-12-30 04:56:21,2021-08-17 12:16:40
65553960,https://stackoverflow.com/questions/65553960/how-to-build-federated-averaging-process-from-custom-federated-dataset-that-load,"['python', 'tensorflow', 'tensorflow-federated', 'federated-learning']",How to build federated_averaging_process from custom federated dataset that loads from CSV file,2021-01-04 03:23:23,2021-01-09 21:14:14
65578498,https://stackoverflow.com/questions/65578498/tff-valueerror-shapes-none-1-and-none-are-incompatible,"['tensorflow', 'tensorflow2.0', 'tensorflow-federated']","TFF : ValueError: Shapes (None, 1) and (None,) are incompatible",2021-01-05 20:02:33,2021-01-06 17:35:28
