framework,url,created_time,closed_time,lifecycle
PySyft,https://github.com/OpenMined/PySyft/issues/1655,2018-11-09 06:09:13,2019-02-05 15:17:33,"88 days, 9:08:20"
PySyft,https://github.com/OpenMined/PySyft/issues/1645,2018-10-29 08:22:53,2018-11-02 11:04:36,"4 days, 2:41:43"
PySyft,https://github.com/OpenMined/PySyft/issues/1511,2018-09-19 18:59:00,2018-09-19 19:09:15,0:10:15
PySyft,https://github.com/OpenMined/PySyft/issues/1502,2018-09-19 18:01:09,2018-09-22 22:34:31,"3 days, 4:33:22"
PySyft,https://github.com/OpenMined/PySyft/issues/1442,2018-08-02 10:29:26,2019-02-05 15:10:59,"187 days, 4:41:33"
PySyft,https://github.com/OpenMined/PySyft/issues/1396,2018-07-10 15:54:08,2018-07-14 17:30:48,"4 days, 1:36:40"
PySyft,https://github.com/OpenMined/PySyft/issues/1381,2018-07-03 12:31:05,2019-02-05 15:06:51,"217 days, 2:35:46"
PySyft,https://github.com/OpenMined/PySyft/issues/1350,2018-06-20 22:07:17,2018-06-21 19:03:17,20:56:00
PySyft,https://github.com/OpenMined/PySyft/issues/1314,2018-01-31 05:29:41,2018-02-16 17:10:13,"16 days, 11:40:32"
PySyft,https://github.com/OpenMined/PySyft/issues/393,2017-11-02 19:15:14,2017-11-03 15:53:18,20:38:04
PySyft,https://github.com/OpenMined/PySyft/issues/390,2017-10-31 04:50:02,2017-11-04 03:12:46,"3 days, 22:22:44"
PySyft,https://github.com/OpenMined/PySyft/issues/118,2017-08-11 21:27:49,2017-09-05 11:04:26,"24 days, 13:36:37"
PySyft,https://github.com/OpenMined/PySyft/issues/74,2017-08-10 00:00:39,2017-10-01 05:06:03,"52 days, 5:05:24"
FATE,https://github.com/FederatedAI/FATE/issues/4107,2022-07-15 09:04:35,2022-07-19 06:16:50,"3 days, 21:12:15"
FATE,https://github.com/FederatedAI/FATE/issues/4075,2022-07-04 02:30:07,2022-07-06 08:58:38,"2 days, 6:28:31"
FATE,https://github.com/FederatedAI/FATE/issues/4066,2022-06-29 01:32:21,2022-07-18 02:45:48,"19 days, 1:13:27"
FATE,https://github.com/FederatedAI/FATE/issues/4049,2022-06-20 09:50:27,2022-06-21 09:24:49,23:34:22
FATE,https://github.com/FederatedAI/FATE/issues/3940,2022-04-26 03:18:04,2022-04-29 06:46:18,"3 days, 3:28:14"
FATE,https://github.com/FederatedAI/FATE/issues/3895,2022-04-12 09:36:41,2022-04-14 01:33:44,"1 day, 15:57:03"
FATE,https://github.com/FederatedAI/FATE/issues/3805,2022-03-14 07:29:51,2022-05-18 06:07:57,"64 days, 22:38:06"
FATE,https://github.com/FederatedAI/FATE/issues/3746,2022-02-28 05:44:37,2022-02-28 07:12:56,1:28:19
FATE,https://github.com/FederatedAI/FATE/issues/3596,2022-01-05 03:31:24,2022-02-08 05:56:14,"34 days, 2:24:50"
FATE,https://github.com/FederatedAI/FATE/issues/3515,2021-12-06 11:50:35,2022-02-24 09:05:45,"79 days, 21:15:10"
FATE,https://github.com/FederatedAI/FATE/issues/3498,2021-12-02 02:39:21,2021-12-06 04:38:12,"4 days, 1:58:51"
FATE,https://github.com/FederatedAI/FATE/issues/3238,2021-10-27 00:22:28,2021-10-27 03:47:23,3:24:55
FATE,https://github.com/FederatedAI/FATE/issues/3133,2021-09-24 07:23:12,2021-10-06 08:10:14,"12 days, 0:47:02"
FATE,https://github.com/FederatedAI/FATE/issues/3132,2021-09-24 03:08:30,2021-09-24 09:47:18,6:38:48
