url	label	title	all_text	comments	merged	created_time	updated_time	closed_time
https://github.com/tensorflow/federated/pull/2912	[]	Move jax components into a non-experimental namespace.	"Move jax components into a non-experimental namespace.Move jax components into a non-experimental namespace.

* Moved core API.
* Moved learning API.
* Updated documentation.
* Deleted infrastructure required to maintain the experimental directory.
"	1	True	2022-05-27 13:23:41	2022-06-01 19:15:41	2022-06-01 19:15:40
https://github.com/tensorflow/federated/pull/2109	['cla: yes']	Silence some pytype errors.	"Silence some pytype errors.Silence some pytype errors.
"	1	True	2021-11-08 23:33:14	2021-11-10 00:59:46	2021-11-10 00:59:46
https://github.com/tensorflow/federated/pull/1688	['cla: yes']	Minor fix of mismatch in code and description of `building_your_own_federated_leanring_algorithm` tutorial.	"Minor fix of mismatch in code and description of `building_your_own_federated_leanring_algorithm` tutorial.Minor fix of mismatch in code and description of `building_your_own_federated_leanring_algorithm` tutorial.
"	1	True	2021-07-27 17:22:17	2021-07-27 22:08:06	2021-07-27 22:07:58
https://github.com/tensorflow/federated/pull/1597	['cla: no']	Fix the error message format in emnist baseline task.	"Fix the error message format in emnist baseline task.Fix the error message format in emnist baseline task.
"	1	True	2021-07-10 01:56:48	2021-07-12 20:45:54	2021-07-12 20:45:53
https://github.com/tensorflow/federated/pull/1592	['cla: no']	Use `grpc/bazel` Python proto library rules.	"Use `grpc/bazel` Python proto library rules.Use `grpc/bazel` Python proto library rules.

See https://github.com/grpc/grpc/blob/master/bazel/python_rules.bzl for more information.
"	1	True	2021-07-09 21:21:22	2021-07-12 20:43:54	2021-07-12 20:43:52
https://github.com/tensorflow/federated/pull/1588	['cla: no']	Fix pydoc formatting for modules in the `learning/` directory.	"Fix pydoc formatting for modules in the `learning/` directory.Fix pydoc formatting for modules in the `learning/` directory.
"	1	True	2021-07-09 18:04:55	2021-07-12 20:42:55	2021-07-12 20:42:54
https://github.com/tensorflow/federated/pull/1520	['cla: no']	Use golden files for extract_computations tree_transformations_test	"Use golden files for extract_computations tree_transformations_testUse golden files for extract_computations tree_transformations_test

Editing these transformations can cause significant ripple effects
to these outputs which are very annoying to fix up by hand. This
change moves them to use golden files so that the outputs can
be easily automatically updated.
"	1	True	2021-06-25 00:49:26	2021-06-30 16:10:55	2021-06-30 16:10:53
https://github.com/tensorflow/federated/pull/1510	['cla: no']	Fix minor typing issues, add some minor documentation.	"Fix minor typing issues, add some minor documentation.Fix minor typing issues, add some minor documentation.
"	1	True	2021-06-23 19:45:15	2021-06-30 16:05:05	2021-06-30 16:05:04
https://github.com/tensorflow/federated/pull/1450	['cla: yes']	Update the raised error for `dataset.reduce` in multi-GPU to point out to TFF tutorial.	"Update the raised error for `dataset.reduce` in multi-GPU to point out to TFF tutorial.Update the raised error for `dataset.reduce` in multi-GPU to point out to TFF tutorial.
"	1	True	2021-06-04 19:13:07	2021-06-04 21:10:46	2021-06-04 21:10:39
https://github.com/tensorflow/federated/pull/1423	['cla: yes']	Fix bug in LearningProcess where initialize is set to next. This also adds a unit test that would catch such issues, that fails without this change.	"Fix bug in LearningProcess where initialize is set to next. This also adds a unit test that would catch such issues, that fails without this change.Fix bug in LearningProcess where initialize is set to next. This also adds a unit test that would catch such issues, that fails without this change.
"	1	True	2021-05-21 18:05:52	2021-05-21 19:01:56	2021-05-21 19:01:50
